"id","siglum","label","openatlasClass","systemClass","type","witnessType","shelfmark","folios","date","origin","currentRepositoryId","currentRepository","copiedFrom","digitalUrl","iiifUrl","sourceLabel","description","bibliography"
"ms-ocf-xv-k","K","K — Rouen, Bibl. mun., MS 370","E22 Human-Made Object","artifact","manuscript_witness","primary","Rouen, Bibl. mun., MS 370","fols. 89r-98r","Early 13th century","Reims","repo-rouen-bibl-mun","Rouen, Bibl. mun.","","https://iiif.biblissima.fr/collections/manifest/7e1c202c01660933c01e7f001c2f8d1dcd2a0e94","","Biblissima IIIF Collections","Copied from G.","Leroquais, Pontificaux, 2: 306–1, no. 190"
"ms-ocf-xv-l","L","L — Orléans, Bibl. mun., MS 144","E22 Human-Made Object","artifact","manuscript_witness","primary","Orléans, Bibl. mun., MS 144","fols. 160r-168r","Early 13th century (before 1236)","Chartres; in Orléans by 1256","repo-orle-ans-bibl-mun","Orléans, Bibl. mun.","","https://iiif.biblissima.fr/collections/manifest/68a4fdc0185ac172e4d150944c35051ca99c5317","","Biblissima IIIF Collections","Copied from E.","Leroquais, Pontificaux, 1: 252–0, no. 76"
"ms-ocf-xv-m","M","M — Paris, BnF, MS lat. 1223","E22 Human-Made Object","artifact","manuscript_witness","primary","Paris, BnF, MS lat. 1223","fols. 161v-190r","13th century, perhaps first half","Metz","repo-paris-bnf","Paris, BnF","","https://gallica.bnf.fr/ark:/12148/btv1b90781373","","Gallica / BnF","Primary witness of the Ratold ordo in this codex at the listed folios.","Leroquais, Pontificaux, 2: 124–0, no. 129"
"ms-ocf-xv-n","N","N — Brussels, Bibl. royale Albert Ier, MS II 1013","E22 Human-Made Object","artifact","manuscript_witness","primary","Brussels, Bibl. royale Albert Ier, MS II 1013","fols. 131r-142v","13th century","Saint-Martin of Tournai","repo-brussels-bibl-royale-albert-ier","Brussels, Bibl. royale Albert Ier","","https://opac.kbr.be/search.aspx?SC=KBR_UNIFIED&QUERY=%22II%201013%22","","KBR OPAC (search)","Primary witness of the Ratold ordo in this codex at the listed folios.","van den Gheyn, Catalogue, 1: 224–5"
"ms-ocf-xv-o","O","O — Brugge, Stedelijke Openbare Bibl., MS 318","E22 Human-Made Object","artifact","manuscript_witness","primary","Brugge, Stedelijke Openbare Bibl., MS 318","fols. 111v-121r","13th century","Ter Doest","repo-brugge-stedelijke-openbare-bibl","Brugge, Stedelijke Openbare Bibl.","","https://iiif.biblissima.fr/collections/search?q=Bruges+Biblioth%C3%A8que+publique+Ms.+318","","Biblissima IIIF (search)","Primary witness of the Ratold ordo in this codex at the listed folios.","de Poorter, Catalogue, 2: 355–6"
"ms-ocf-xv-p","P","P — Paris, BnF, MS lat. 17335","E22 Human-Made Object","artifact","manuscript_witness","primary","Paris, BnF, MS lat. 17335","fols. 64r-80r","Second half or end of 13th century","Noyon","repo-paris-bnf","Paris, BnF","","https://gallica.bnf.fr/ark:/12148/btv1b9077919m","https://gallica.bnf.fr/iiif/ark:/12148/btv1b8426275w/manifest.json","Gallica / BnF","Copied from G. Preceded by a fragment from the Second English Ordo. | Additional catalog entry: MusMed https://musmed.eu/source/13499","Leroquais, Pontificaux, 2: 211–4, no. 162"
"ms-ocf-xv-q","Q","Q — Wrocław, Bibl. Uniwersytecka, MS I F 380","E22 Human-Made Object","artifact","manuscript_witness","primary","Wrocław, Bibl. Uniwersytecka, MS I F 380","fols. 118r-126v","14th century","Prague (or near)","repo-wroc-aw-bibl-uniwersytecka","Wrocław, Bibl. Uniwersytecka","","https://iiif.biblissima.fr/collections/search?q=Wroclaw+Biblioteka+Uniwersytecka+I+F+380","","Biblissima IIIF (search)","Primary witness of the Ratold ordo in this codex at the listed folios.","Schenk, 'Rękopisy liturgiczne,' 202"
"ms-ocf-xv-r","R","R — Paris, BnF, MS Baluze 379","E22 Human-Made Object","artifact","manuscript_witness","copy","Paris, BnF, MS Baluze 379","fols. 78r-83r","17th century","","repo-paris-bnf","Paris, BnF","","https://catalogue.bnf.fr/rechercher.do?motRecherche=MS+Baluze+379","","BnF Catalogue (search)","Copied from G. Not collated.",""
"ms-ocf-xv-s","S","S — Chantilly, Musée Condé, MS 1149 (no. 356)","E22 Human-Made Object","artifact","manuscript_witness","copy","Chantilly, Musée Condé, MS 1149 (no. 356)","fols. 4r-9r","17th century","","repo-chantilly-muse-e-conde","Chantilly, Musée Condé","","https://iiif.biblissima.fr/collections/search?q=Chantilly+Mus%C3%A9e+Cond%C3%A9+Ms.+1149","","Biblissima IIIF (search)","Copied from C.",""
"ms-ocf-xv-t","T","T — Paris, BnF, MS lat. 11743","E22 Human-Made Object","artifact","manuscript_witness","copy","Paris, BnF, MS lat. 11743","fols. 75r-84r","17th century","","repo-paris-bnf","Paris, BnF","","https://catalogue.bnf.fr/rechercher.do?motRecherche=MS+lat+11743","","BnF Catalogue (search)","Copied from G.","Leroquais, Pontificaux, 1: 170, no. 148"
